from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,245998224599935+368242+0,245998224599935+368380+0,1,
33,33,,,245998224599935+368246+0,245998224599935+368381+0,1,
33,33,,,245998224599935+368250+0,245998224599935+368382+0,1,
33,33,,,245998224599935+368254+0,245998224599935+368387+0,1,
33,33,,,245998224599935+368261+0,245998224599935+368394+0,1,
33,33,,,245998224599935+368265+0,245998224599935+368398+0,1,
33,33,,,245998224599935+368276+1,245998224599935+368415+1,1,
33,33,,,245998224599935+368281+1,245998224599935+368425+1,1,
33,33,,,245998224599935+368285+1,245998224599935+368425+1,1,
33,33,,,245998224599935+368290+1,245998224599935+368426+1,1,
33,33,,,245998224599935+368294+1,245998224599935+368426+1,1,
33,33,,,245998224599935+368299+1,245998224599935+368436+1,1,
33,33,,,245998224599935+368305+1,245998224599935+368440+1,1,
33,33,,,245998224599935+368312+1,245998224599935+368587+1,1,
33,33,,,245998224599935+368316+1,245998224599935+368661+1,1,
33,33,,,245998224599935+368321+1,245998224599935+368701+0,1,
33,33,,,245998224599935+368325+0,245998224599935+368756+0,1,
33,33,,,245998224599935+368330+0,245998224599935+368858+0,1,
33,33,,,245997924600005+368335+0,245998224599935+368882+0,1,
94,94,,,245998224599935+367405+1,245998224599935+368899+0,1,
94,94,,,245997924600005+367423+1,245998224599935+368900+0,1,
94,94,,,245998224599935+367435+0,245998224599935+368904+0,1,
94,94,,,245998224599935+367450+0,245998224599935+368906+0,1,
94,94,,,245998224599935+367547+0,245998224599935+368928+0,1,
76,76,,,245997924600005+367058+0,245998224599935+368979+0,1,
74,74,,,245998224599935+367070+1,245998224599935+369018+1,1,
94,94,,,245998224599935+368032+1,245998224599935+369250+0,1,
94,94,,,245997924600005+368115+1,245998224599935+369254+0,1,
94,94,,,245998224599935+368133+0,245998224599935+369258+0,1,
94,94,,,245997924600005+368153+0,245998224599935+369259+0,1,
94,94,,,245998324600005+368187+0,245998224599935+369281+0,1,
140,140,,,245998224599865+366521+0,245998224599935+369436+0,1,
140,140,,,245998924599935+366522+0,245998224599935+369436+0,1,
140,140,,,245997924599865+366581+1,245998224599935+369437+0,1,
140,140,,,245998224599865+366401+1,245998224599935+369437+0,1,
140,140,,,245998924599935+366402+1,245998224599935+369437+0,1,
140,140,,,245999324600005+366583+1,245998224599935+369437+0,1,
124,124,,,245998324599862+366106+0,245998324599852+366423+0,1,
124,124,,,245998324599863+366106+0,245998324599853+366423+0,1,
124,124,,,245998324599864+366106+0,245998324599854+366423+0,1,
124,124,,,245998224599861+366702+0,245998324599862+366354+0,1,
124,124,,,245998324599862+366098+0,245998324599862+366421+0,1,
124,124,,,245998224599851+366350+0,245998324599862+366699+0,1,
124,124,,,245998224599862+366702+0,245998324599863+366354+0,1,
